name, repeat, time, transf, fvc, depth, inv_depth, rate
orig, 1, 2, id, 16384, 16, -1, 25.117817
inc, 1, 2, id, 16384, 16, -1, 1603.120062
einc, 1, 2, id, 16384, 16, -1, 41.014252
orig, 1, 2, add, 16384, 16, 2, 26.178226
inc, 1, 2, add, 16384, 16, 2, 796.156135
orig, 1, 2, elim, 16384, 16, 2, 35.384995
inc, 1, 2, elim, 16384, 16, 2, 794.786959
orig, 1, 2, move, 16384, 16, 2, 25.935640
inc, 1, 2, move, 16384, 16, 2, 810.032300
orig, 1, 2, id, 16384, 18, -1, 5.412475
inc, 1, 2, id, 16384, 18, -1, 1601.113387
einc, 1, 2, id, 16384, 18, -1, 39.840427
orig, 1, 2, add, 16384, 18, 2, 6.161529
inc, 1, 2, add, 16384, 18, 2, 812.255199
orig, 1, 2, elim, 16384, 18, 2, 7.412148
inc, 1, 2, elim, 16384, 18, 2, 798.123813
orig, 1, 2, move, 16384, 18, 2, 5.417486
inc, 1, 2, move, 16384, 18, 2, 809.973135
orig, 1, 2, id, 32768, 16, -1, 24.771655
inc, 1, 2, id, 32768, 16, -1, 794.819415
einc, 1, 2, id, 32768, 16, -1, 19.827693
orig, 1, 2, add, 32768, 16, 2, 24.983496
inc, 1, 2, add, 32768, 16, 2, 402.158233
orig, 1, 2, elim, 32768, 16, 2, 33.430188
inc, 1, 2, elim, 32768, 16, 2, 27.477716
orig, 1, 2, move, 32768, 16, 2, 24.668190
inc, 1, 2, move, 32768, 16, 2, 405.434927
orig, 1, 2, id, 32768, 18, -1, 5.055669
inc, 1, 2, id, 32768, 18, -1, 806.153560
einc, 1, 2, id, 32768, 18, -1, 18.528893
orig, 1, 2, add, 32768, 18, 2, 5.795083
inc, 1, 2, add, 32768, 18, 2, 405.563352
orig, 1, 2, elim, 32768, 18, 2, 6.741501
inc, 1, 2, elim, 32768, 18, 2, 392.557304
orig, 1, 2, move, 32768, 18, 2, 5.227538
inc, 1, 2, move, 32768, 18, 2, 404.153781
orig, 1, 2, id, 65536, 18, -1, 4.858536
inc, 1, 2, id, 65536, 18, -1, 397.810203
einc, 1, 2, id, 65536, 18, -1, 7.804810
orig, 1, 2, add, 65536, 18, 2, 5.341621
inc, 1, 2, add, 65536, 18, 2, 198.278236
orig, 1, 2, elim, 65536, 18, 2, 6.611349
inc, 1, 2, elim, 65536, 18, 2, 182.226125
orig, 1, 2, move, 65536, 18, 2, 5.014389
inc, 1, 2, move, 65536, 18, 2, 199.344494
orig, 1, 2, id, 131072, 18, -1, 4.791620
inc, 1, 2, id, 131072, 18, -1, 188.157966
einc, 1, 2, id, 131072, 18, -1, 3.026286
orig, 1, 2, add, 131072, 18, 2, 4.735274
inc, 1, 2, add, 131072, 18, 2, 93.987641
orig, 1, 2, elim, 131072, 18, 2, 6.274949
inc, 1, 2, elim, 131072, 18, 2, 5.667336
orig, 1, 2, move, 131072, 18, 2, 4.552119
inc, 1, 2, move, 131072, 18, 2, 94.469135
